scenario,seed,epoch,interactions,accepted,toxicity,surplus,net_welfare
combined,42,18,11,11,0.4632,4.68,-3.48
combined,42,19,13,13,0.4476,6.22,-3.09
combined,42,20,9,9,0.4608,3.90,-2.73
combined,42,21,11,11,0.4595,4.82,-3.27
combined,42,22,6,6,0.4345,3.14,-1.03
combined,42,23,5,5,0.4470,2.40,-1.18
combined,42,24,5,5,0.4464,2.41,-1.16
combined,42,25,5,5,0.4713,1.99,-1.78
combined,42,26,6,6,0.4678,2.46,-2.03
combined,42,27,7,7,0.4538,3.20,-1.88
combined,42,28,5,4,0.4583,1.77,-1.17
combined,42,29,4,4,0.4709,1.60,-1.42
